"Timestamp","n_mints","trick_or_treat","archie_girls","the_dress","imitation","friday_or_saturday"
2015-10-23 10:56:50,23,FALSE,"???","White and gold","Flattery",NA
2015-10-23 10:57:04,4,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 10:57:31,5,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 10:59:55,4,FALSE,"Betty","Blue and black","Flattery",NA
2015-10-23 11:00:12,16,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 11:00:14,4,FALSE,"???","White and gold","Lazily flattering someone",NA
2015-10-23 11:00:16,4,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 11:01:48,5,FALSE,"???","White and gold","Flattery",NA
2015-10-23 11:02:12,1337,FALSE,"Betty","Blue and black","Flattery",NA
2015-10-23 11:03:40,14,FALSE,NA,"Blue and black","Lazily flattering someone",NA
2015-10-23 11:03:52,3,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 11:04:54,17,FALSE,"???","White and gold","Lazily flattering someone",NA
2015-10-23 11:05:00,7,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 11:05:42,5,FALSE,"Betty","White and gold","Flattery",NA
2015-10-23 11:06:59,3,FALSE,"???","White and gold","Lazily flattering someone",NA
2015-10-23 11:07:47,5,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 11:08:02,5,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 11:09:58,1,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 11:10:15,1,FALSE,"???","White and gold","Lazily flattering someone",NA
2015-10-23 11:10:43,10,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 11:10:45,42,FALSE,"???","Blue and black","Lazily flattering someone",NA
2015-10-23 11:10:51,12,FALSE,"Veronica","Blue and black","Flattery",NA
2015-10-23 11:11:15,6,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 11:12:02,7,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 11:12:25,5,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
