user,age
ID-1615,45
ID-1616,57
ID-1617,33
ID-1618,44
ID-1619,55
ID-1620,23
ID-1621,31
ID-1622,43
ID-1623,34
ID-1624,36
ID-1625,31
ID-1626,63
ID-1627,31
ID-1628,44
ID-1629,34
ID-1630,46
ID-1631,53
ID-1632,40
ID-1362,NA
ID-1363,32
ID-1364,39
ID-1365,77
ID-1366,52
ID-1367,40
ID-1368,74
ID-1369,41
ID-1370,52
ID-1371,53
ID-1372,30
ID-1373,75
ID-1374,46
ID-1375,49
ID-1376,46
ID-1377,NA
ID-1378,31
ID-1379,56
ID-1380,NA
ID-1381,39
ID-1382,41
ID-1383,27
ID-1384,46
ID-1385,43
ID-1386,NA
ID-1387,41
ID-1388,39
ID-1389,47
ID-1390,50
ID-1391,36
ID-1392,51
ID-1393,27
ID-1394,43
ID-1395,NA
ID-1396,26
ID-1397,46
ID-1398,34
ID-1399,32
ID-1400,55
ID-1401,60
ID-1402,69
ID-1403,70
ID-1404,39
ID-1405,46
ID-1406,35
ID-1407,37
ID-1408,100
ID-1409,30
ID-1410,45
ID-1411,54
ID-1412,44
ID-1413,30
ID-1414,58
ID-1415,42
ID-1416,33
ID-1417,9
ID-1418,61
ID-1419,27
ID-1420,43
ID-1421,38
ID-1422,60
ID-1423,100
ID-1424,40
ID-1425,40
ID-1426,46
ID-1427,40
ID-1428,45
ID-1429,34
ID-1430,48
ID-1431,46
ID-1432,NA
ID-1433,45
ID-1434,45
ID-1435,29
ID-1633,47
ID-1634,40
ID-1635,NA
ID-1636,27
ID-1637,34
ID-1715,51
ID-1716,46
ID-1717,36
ID-1718,35
ID-1719,34
ID-1720,44
ID-1721,48
ID-1722,36
ID-1723,29
ID-1724,NA
ID-1725,33
ID-1726,51
ID-1727,53
ID-1728,37
ID-1729,42
ID-1730,36
ID-1731,29
ID-1732,45
ID-1733,NA
ID-1734,49
ID-1735,35
ID-1736,57
ID-1737,28
ID-1738,47
ID-1739,29
ID-1740,50
ID-1741,53
ID-1742,25
ID-1743,27
ID-1744,41
ID-1745,47
ID-1746,60
ID-1747,33
ID-1748,47
ID-1749,31
ID-1750,52
ID-1751,33
ID-1752,37
ID-1753,54
ID-1754,19
ID-1755,18
ID-1756,34
ID-1757,32
ID-1758,52
ID-1759,41
ID-1760,44
ID-1761,33
ID-1762,38
ID-1763,42
ID-1764,37
ID-1765,27
ID-1766,44
ID-1767,48
ID-1768,50
ID-1769,42
ID-1770,52
ID-1771,50
ID-1772,61
ID-1773,38
ID-1638,44
ID-1774,19
ID-1775,49
ID-1776,24
ID-1777,46
ID-1778,44
ID-1779,38
ID-1780,49
ID-1781,47
ID-1782,35
ID-1783,NA
ID-1784,40
ID-1785,50
ID-1786,37
ID-1787,17
ID-1788,38
ID-1789,16
ID-1790,32
ID-1791,50
ID-1792,63
ID-1793,14
ID-1639,33
ID-1640,55
ID-1641,51
ID-1642,54
ID-1643,51
ID-1644,47
ID-1645,45
ID-1646,20
ID-1647,19
ID-1648,24
ID-1649,NA
ID-1650,20
ID-1651,22
ID-1652,21
ID-1653,14
ID-1654,35
ID-1655,38
