user,n_mints
ID-1201,NA
ID-1202,3
ID-1203,4
ID-1204,6
ID-1205,2
ID-1206,NA
ID-1207,4
ID-1208,4
ID-1209,7
ID-1210,5
ID-1211,6
ID-1212,NA
ID-1213,17
ID-1214,0
ID-1215,7
ID-1216,3
ID-1217,6
ID-1218,4
ID-1219,0
ID-1220,12
ID-1221,3
ID-1222,NA
ID-1223,NA
ID-1224,23
ID-1225,NA
ID-1226,3
ID-1227,4
ID-1228,3
ID-1229,0
ID-1230,5
ID-1231,5
ID-1232,18
ID-1233,NA
ID-1234,6
ID-1235,3
ID-1236,NA
ID-1237,5
ID-1238,7
ID-1239,6
ID-1240,8
ID-1241,16
ID-1242,NA
ID-1243,0
ID-1244,5
ID-1245,7
ID-1246,467
ID-1247,0
ID-1248,14
ID-1249,0
ID-1250,5
ID-1251,3
ID-1252,0
ID-1253,7
ID-1254,12
ID-1255,3
ID-1256,4
ID-1257,NA
ID-1258,1
ID-1259,0
ID-1260,5
ID-1261,6
ID-1262,5
ID-1263,0
ID-1264,3
ID-1265,18
ID-1266,23
ID-1267,4
ID-1268,13
ID-1269,3
ID-1270,3
ID-1271,NA
ID-1272,7
ID-1273,3
ID-1274,3
ID-1275,7
ID-1276,2
ID-1277,NA
ID-1278,4
ID-1279,4
ID-1280,5
ID-1281,2
ID-1282,8
ID-1283,2
ID-1284,13
ID-1285,4
ID-1286,2
ID-1287,0
ID-0930,4
ID-0931,27
ID-1288,8
ID-1289,3
ID-1290,5
ID-1291,4
ID-1292,5
ID-1293,5
ID-1294,7
ID-1295,7
ID-1296,4
ID-1297,2
ID-1298,6
ID-1299,7
ID-1300,3
ID-1301,17
ID-1302,5
ID-1303,0
ID-1304,42
ID-1305,0
ID-1306,3
ID-1307,6
ID-1308,5
ID-1309,NA
ID-1310,3
ID-1311,42
ID-1312,0
ID-1313,7
ID-1314,7
ID-1315,11
ID-1316,5
ID-1317,3
ID-1318,11
ID-1319,3
ID-1320,25
ID-1321,2
ID-1322,5
ID-1323,3
ID-1324,42
ID-1325,6
ID-1326,54
ID-1327,12
ID-1328,NA
ID-1329,11
ID-1330,11
ID-1331,42
ID-1332,NA
ID-1333,3
ID-1334,NA
ID-1335,32
ID-1336,21
ID-1337,3
ID-1338,NA
ID-1339,3
ID-1340,NA
ID-1341,3
ID-1342,NA
ID-1343,4
ID-1344,1
ID-1345,17
ID-1346,5
ID-1347,7
ID-1348,0
ID-1349,4
ID-0932,NA
ID-0933,6
ID-0934,42
ID-0935,6
ID-0936,NA
ID-0937,7
ID-0938,0
ID-0939,8
ID-0940,3
ID-0941,3
ID-0942,3
ID-0943,3
ID-0944,10
ID-0945,14
ID-0946,14
ID-0947,213
ID-0948,6
ID-0949,5
ID-0950,NA
ID-0951,3
ID-0952,12
ID-0953,NA
ID-0954,3
ID-0955,4
ID-0956,1
ID-0957,6
ID-0958,6
ID-0959,5
ID-0960,0
ID-0961,4
ID-0962,5
ID-0963,5
ID-0964,NA
ID-0965,4
ID-0966,3
ID-0967,NA
ID-0969,17
ID-0968,3
ID-0970,0
ID-0973,NA
ID-0972,NA
ID-0971,NA
ID-0975,42
ID-0976,NA
ID-0977,17
ID-0974,12
ID-0978,NA
ID-0979,5
ID-0980,NA
ID-0981,NA
ID-0982,2
ID-0983,4
ID-0984,12
ID-0986,13
ID-0987,42
ID-0988,0
ID-0985,27
ID-0989,3
ID-0990,9
ID-0991,7
ID-0992,2
ID-0993,42
ID-0994,NA
ID-0995,14
ID-0996,4
ID-0997,NA
ID-0998,NA
ID-0999,5
ID-1000,4
ID-1001,42
ID-1002,0
ID-1003,92
ID-1004,2
ID-1005,4
ID-1007,42
ID-1008,42
ID-1009,NA
ID-1006,3
ID-1010,4
ID-1011,2
ID-1012,1254
ID-1013,5
ID-1014,5
ID-1015,4
ID-1016,20
ID-1017,5
ID-1018,32
ID-1019,42
ID-1020,4
ID-1021,3
ID-1022,12
ID-1023,4
ID-1024,6
ID-1025,17
ID-1026,3
ID-1027,2178
ID-1028,0
ID-1029,0
ID-1030,3
ID-1031,NA
ID-1032,0
ID-1033,NA
ID-1034,4
ID-1035,NA
ID-1036,4
ID-1037,4
ID-1038,5
ID-1039,11
ID-1040,7
ID-1041,49
ID-1042,42
ID-1043,42
ID-1044,NA
ID-1045,7
ID-1046,4
ID-1047,NA
ID-1048,6
ID-1049,42
ID-1050,5
ID-1051,2
ID-1052,NA
ID-1053,7
ID-1054,2
ID-1055,5
ID-1350,6
ID-1351,0
ID-1352,29
ID-1353,42
ID-1354,6
ID-1355,3
ID-1356,3
ID-1357,12
ID-1358,NA
ID-1359,11
ID-1436,0
ID-1437,6
ID-1438,16
ID-1439,NA
ID-1440,NA
ID-1441,NA
ID-1442,8
ID-1443,0
ID-1444,20
ID-1445,8
ID-1446,3
ID-1447,7
ID-1448,16
ID-1449,0
ID-1450,8
ID-1451,12
ID-1452,5
ID-1453,19
ID-1454,17
ID-1455,5
ID-1456,23
ID-1458,NA
ID-1457,0
ID-1459,0
ID-1460,3
ID-1461,NA
ID-1462,3
ID-1463,6
ID-1464,3
ID-1465,3
ID-1466,5
ID-1467,4
ID-1468,0
ID-1470,5
ID-1469,5
ID-1471,NA
ID-1472,4
ID-1473,2
ID-1474,19
ID-1475,3
ID-1476,NA
ID-1477,6
ID-1478,36
ID-1479,52
ID-1480,3
ID-1481,4
ID-1482,2
ID-1483,6
ID-1484,4
ID-1485,5
ID-1486,3
ID-1487,NA
ID-1488,12
ID-1489,0
ID-1490,0
ID-1491,42
ID-1492,0
ID-1493,NA
ID-1494,14
ID-1495,0
ID-1496,3
ID-1497,3
ID-1498,7
ID-1499,8
ID-1500,5
ID-1501,12
ID-1502,NA
ID-1503,4
ID-1504,8
ID-1505,4
ID-1506,42
ID-1507,3
ID-1508,5
ID-1509,14
ID-1510,5
ID-1511,NA
ID-1512,6
ID-1513,6
ID-1514,4
ID-1515,0
ID-1516,NA
ID-1517,1
ID-1518,4
ID-1519,7
ID-1520,5
ID-1521,57
ID-1522,7
ID-1523,3
ID-1524,4
ID-1525,10
ID-1526,3
ID-1527,6
ID-1528,7
ID-1529,4
ID-1530,3
ID-1531,4
ID-1532,3
ID-1533,17
ID-1534,17
ID-1535,5
ID-1536,NA
ID-1537,7
ID-1538,12
ID-1539,17
ID-1540,12
ID-1541,20
ID-1542,23
ID-1543,9
ID-1544,12
ID-1545,0
ID-1546,14
ID-1547,3
ID-1548,4
ID-1549,0
ID-1550,NA
ID-1551,41
ID-1552,7
ID-1553,8
ID-1554,4
ID-1555,7
ID-1556,NA
ID-1557,1
ID-1558,8
ID-1559,0
ID-1560,NA
ID-1561,NA
ID-1562,NA
ID-1563,4
ID-1564,30
ID-1565,NA
ID-1566,NA
ID-1567,0
ID-1568,0
ID-1569,0
ID-1570,3
ID-1571,12
ID-1572,30
ID-1573,7
ID-1574,4
ID-1575,5
ID-1576,8
ID-1577,7
ID-1578,NA
ID-1579,3
ID-1580,4
ID-1581,32
ID-1582,3
ID-1583,88
ID-1584,7
ID-1585,0
ID-1586,3
ID-1587,4
ID-1588,4
ID-1589,15
ID-1590,4
ID-1591,7
ID-1592,7
ID-1593,NA
ID-1594,NA
ID-1595,27
ID-1596,4
ID-1597,17
ID-1598,8
ID-1599,19
ID-1600,927
ID-1601,12
ID-1360,6
ID-1361,4
ID-1602,4
ID-1603,5
ID-1604,5
ID-1605,0
ID-1606,3
ID-1607,5
ID-1608,15
ID-1609,3
ID-1610,4
ID-1611,NA
ID-1612,6
ID-1613,3
ID-1614,5
ID-1615,3
ID-1616,4768
ID-1617,5
ID-1618,7
ID-1619,3
ID-1620,6
ID-1621,0
ID-1622,0
ID-1623,34
ID-1624,7
ID-1625,2
ID-1626,12
ID-1627,3
ID-1628,4
ID-1629,6
ID-1630,14
ID-1631,137
ID-1632,7
ID-1362,8
ID-1363,3
ID-1364,0
ID-1365,7
ID-1366,3
ID-1367,2
ID-1368,3
ID-1369,5
ID-1370,4
ID-1371,4
ID-1372,5
ID-1373,14
ID-1374,7
ID-1375,12
ID-1376,7
ID-1377,6
ID-1378,4
ID-1379,88
ID-1380,7
ID-1381,0
ID-1382,NA
ID-1383,NA
ID-1384,9
ID-1385,1
ID-1386,3
ID-1387,4
ID-1388,6
ID-1389,0
ID-1390,7
ID-1391,0
